website,http_status,number_of_redirects,dns_lookup_time,tcp_connect_time,ssl_ssh_time,pretransfer_time,redirect_time,starttransfer_time,total_time
google.com,200,1,0.036,0.179,0.000,0.179,0.610,0.316,0.926
youtube.com,200,2,0.005,0.151,0.625,0.625,1.262,0.802,2.064
facebook.com,200,2,0.526,0.554,0.667,0.667,1.155,0.783,1.938
google.fr,200,1,0.036,0.062,0.000,0.062,0.123,0.131,0.255
yahoo.com,200,1,0.532,0.579,0.718,0.718,0.188,0.822,1.010
msn.com,200,1,0.524,0.550,0.000,0.550,0.095,0.690,0.785
leboncoin.fr,200,1,0.274,1.175,0.000,1.175,0.428,1.495,1.923
live.com,200,3,1.525,1.618,2.001,2.001,2.204,2.091,4.295
uptodown.com,200,1,0.069,0.137,0.000,0.137,0.265,0.300,0.564
bing.com,200,1,0.530,0.555,0.000,0.555,0.141,0.622,0.763
orange.fr,200,4,0.000,0.000,0.000,0.000,4.569,0.190,4.759
caf.fr,200,1,0.005,0.203,0.000,0.203,3.606,0.412,4.018
diply.com,200,0,0.066,0.087,0.000,0.087,0.000,0.190,0.190
amazon.fr,200,1,0.136,0.375,0.000,0.375,0.480,0.631,1.111
wikipedia.org,200,2,0.127,0.154,0.246,0.246,0.317,0.268,0.585
bongacams.com,200,1,0.005,0.085,0.360,0.360,0.465,0.783,1.249
cpasbien.io,503,0,0.005,0.030,0.000,0.030,0.000,0.053,0.053
adnetworkperformance.com,200,0,0.066,0.123,0.000,0.123,0.000,0.177,0.178
ask.com,200,1,0.513,0.549,0.000,0.549,0.276,0.723,0.999
zone-telechargement.com,520,0,0.005,0.031,0.000,0.031,0.000,1.695,1.696
onclickads.net,200,1,0.129,0.362,0.000,0.362,0.950,0.616,1.566
labanquepostale.fr,200,3,0.000,0.200,0.466,0.466,3.210,1.040,4.250
secretsdujeu.com,200,1,0.066,0.090,0.000,0.090,0.282,0.120,0.402
pornhub.com,200,1,0.036,0.293,0.000,0.293,0.378,0.699,1.076
mystart.com,200,1,0.125,0.246,0.696,0.696,0.277,0.930,1.206
akamaihd.net,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
commentcamarche.net,200,1,0.518,0.548,0.000,0.548,0.380,0.894,1.274
youtube-mp3.org,200,1,0.515,1.243,0.000,1.243,0.444,1.472,1.916
buzzfil.net,200,0,0.138,0.164,0.000,0.164,0.000,1.075,1.076
pole-emploi.fr,200,2,0.000,0.000,0.000,0.000,3.633,0.188,3.821
likemag.com,200,3,0.000,0.000,0.000,0.000,1.849,0.231,2.080
instagram.com,200,1,0.523,0.552,0.679,0.679,0.297,0.819,1.116
thegaw.net,200,1,0.071,0.095,0.000,0.095,0.709,0.468,1.177
predictivadvertising.com,200,0,0.258,0.350,0.000,0.350,0.000,0.440,0.440
clicanoo.re,200,1,0.073,0.097,0.000,0.097,0.512,3.433,3.944
xhamster.com,200,0,0.134,0.321,0.000,0.321,0.000,0.548,0.548
dl-protect.com,200,0,0.132,0.163,0.000,0.163,0.000,0.560,0.560
txxx.com,200,1,0.061,0.087,0.000,0.088,0.470,0.295,0.765
ac-reunion.fr,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.005
aliexpress.com,200,1,0.520,0.554,0.000,0.554,0.120,0.614,0.734
pagesjaunes.fr,200,1,0.519,0.906,0.000,0.906,0.658,1.257,1.915
spaceshipads.com,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
xvideos.com,200,1,0.034,1.039,0.000,1.039,2.059,1.260,3.320
reimageplus.com,200,1,0.030,0.100,0.000,0.100,0.241,0.187,0.428
lexpress.mu,200,1,0.031,0.256,0.000,0.256,0.662,1.089,1.751
hclips.com,200,1,0.033,0.062,0.000,0.062,0.429,0.281,0.710
microsoft.com,200,2,0.000,0.000,0.000,0.000,0.845,1.576,2.421
nametests.com,200,0,0.129,0.153,0.000,0.153,0.000,1.096,1.096
sfr.re,200,1,0.524,0.895,0.000,0.896,1.259,1.283,2.543
foozine.com,200,1,0.529,0.730,0.000,0.730,0.633,0.933,1.566
twitter.com,200,1,0.004,0.032,0.200,0.200,0.092,0.421,0.514
lemonde.fr,200,1,0.523,0.624,0.000,0.624,0.431,0.654,1.084
ebay.fr,200,1,0.062,0.088,0.000,0.088,0.185,0.368,0.553
streamcomplet.com,200,0,0.066,0.093,0.000,0.093,0.000,0.465,0.465
credit-agricole.fr,200,1,0.260,0.559,0.000,0.559,0.672,0.903,1.574
bred.fr,200,2,0.000,0.000,0.000,0.000,3.765,0.175,3.940
badoo.com,200,0,0.260,0.464,0.000,0.464,0.000,0.676,0.676
brigade97kat.com,200,0,0.259,0.461,0.000,0.461,0.000,0.682,0.682
allocine.fr,200,1,0.520,0.543,0.000,0.543,0.394,0.569,0.963
dailymotion.com,200,2,0.000,0.000,0.000,0.000,0.823,1.496,2.319
tradeadexchange.com,200,0,0.137,0.352,0.000,0.353,0.000,0.467,0.467
profitboosterapp.com,200,1,0.132,0.184,0.000,0.184,1.601,0.550,2.151
alibaba.com,200,1,0.523,0.590,0.000,0.590,0.121,0.640,0.761
free.fr,200,1,0.266,0.616,0.000,0.616,0.452,0.780,1.232
voirfilms.org,200,1,0.130,0.156,0.000,0.156,0.469,0.340,0.810
caisse-epargne.fr,000,0,0.005,0.000,0.000,0.000,0.000,0.000,4.215
amazon.com,200,1,0.032,0.132,0.000,0.132,0.269,0.260,0.528
blogspot.com,200,6,0.000,0.031,0.051,0.051,1.320,0.150,1.470
paypal.com,200,3,0.000,0.043,0.118,0.118,1.719,0.399,2.118
linfo.re,200,1,1.532,1.730,0.000,1.730,0.518,2.025,2.543
showroomprive.com,200,1,0.262,0.445,1.344,1.344,0.634,1.581,2.215
tukif.com,200,1,0.029,0.057,0.000,0.057,0.119,0.118,0.238
meteofrance.re,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
pmu.fr,302,3,0.001,0.001,0.001,0.001,1.562,0.170,1.732
fdj.fr,200,2,0.000,0.000,0.000,0.000,2.204,0.364,2.568
ask.fm,200,1,0.005,0.097,0.448,0.449,0.279,0.567,0.846
youporn.com,200,1,0.033,0.217,0.000,0.217,0.400,0.386,0.786
ca-reunion.fr,200,2,0.000,0.000,0.000,0.000,1.458,0.163,1.621
zinfos974.com,200,1,1.521,2.319,0.000,2.319,0.883,2.540,3.424
vidal.fr,200,2,0.005,0.359,0.946,0.946,1.258,2.095,3.353
reverso.net,200,2,0.000,0.000,0.000,0.000,0.810,0.170,0.980
babbel.com,301,3,0.005,0.213,0.841,0.000,4.787,0.000,5.629
mydomainadvisor.com,200,0,0.140,0.219,0.000,0.219,0.000,0.296,0.296
neko-san.fr,200,0,0.264,0.363,0.000,0.364,0.000,0.721,0.721
jeuxvideo.com,200,1,0.068,0.252,0.000,0.252,2.259,0.612,2.871
laposte.net,200,2,1.538,1.704,1.012,1.704,2.085,1.884,3.970
meteo-reunion.com,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
01net.com,200,1,0.261,0.465,0.000,0.465,0.657,1.271,1.928
upornia.com,200,0,0.031,0.053,0.000,0.053,0.000,0.427,0.427
sfr.fr,200,1,0.256,0.437,0.000,0.437,0.642,0.622,1.264
atomaza.com,200,0,0.128,0.196,0.000,0.196,0.000,1.862,1.863
banquedelareunion.fr,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
google.com.ph,200,1,0.062,0.090,0.000,0.090,0.141,0.160,0.301
outbrain.com,200,1,0.526,0.551,0.000,0.551,0.177,0.752,0.928
liveadexchanger.com,200,0,0.070,0.140,0.000,0.140,0.000,0.197,0.197
t411.in,200,1,0.263,0.289,0.000,0.290,0.211,2.601,2.812
myboomdirect.net,200,0,0.139,0.371,0.000,0.371,0.000,1.267,1.268
clubcard10.com,200,2,0.136,0.330,0.000,0.330,2.030,0.541,2.571
uptobox.com,200,0,0.030,0.053,0.000,0.053,0.000,0.393,0.393
full-stream.org,200,0,0.270,0.299,0.000,0.299,0.000,0.526,0.526
wordpress.com,200,1,0.005,0.030,0.162,0.162,0.116,0.190,0.306
profits25.com,200,0,1.537,2.543,0.000,2.543,0.000,4.863,4.863
coco.fr,200,0,0.138,0.333,0.000,0.333,0.000,0.528,0.528
tripadvisor.fr,200,2,0.005,0.033,0.172,0.172,0.891,0.304,1.194
dofus.com,301,1,0.005,1.010,0.000,1.011,0.606,0.000,4.626
clipconverter.cc,200,1,0.034,0.239,0.000,0.239,0.674,0.438,1.112
plarium.com,200,0,0.035,0.122,0.000,0.122,0.000,0.214,0.214
infos-bourses.com,200,0,0.136,0.240,0.000,0.241,0.000,0.344,0.344
adcash.com,200,2,0.000,0.000,0.000,0.000,0.570,0.151,0.721
terraclicks.com,200,0,0.133,0.232,0.000,0.232,0.000,0.329,0.329
heroquizz.com,200,1,0.005,0.037,0.000,0.037,1.318,0.472,1.790
japscan.com,200,1,0.070,0.244,0.000,0.244,0.426,0.448,0.874
sokrostream.biz,200,0,0.071,0.100,0.000,0.100,0.000,0.506,0.506
searchpile.com,200,0,0.005,0.054,0.000,0.054,0.000,0.120,0.120
journaldesfemmes.com,200,1,0.067,0.249,0.000,0.249,0.452,0.675,1.128
ldlc.com,200,1,0.520,0.693,0.000,0.693,1.231,1.004,2.235
phhhoto.com,200,0,0.062,0.093,0.000,0.093,0.000,0.122,0.122
weeloov.com,200,0,0.524,0.852,0.000,0.852,0.000,1.748,1.748
woodmanlivecams.com,200,1,0.069,0.269,0.000,0.269,0.475,0.718,1.194
skyrock.com,200,0,0.269,0.656,0.000,0.656,0.000,0.860,0.860
cdiscount.com,200,1,0.255,0.442,0.000,0.442,1.364,1.260,2.624
mobrabus.com,200,1,0.133,0.396,0.000,0.396,1.033,0.622,1.655
journal-des-bourses.com,200,0,0.135,0.259,0.000,0.259,0.000,0.447,0.448
adobe.com,200,1,0.523,0.543,0.000,0.543,0.243,0.565,0.809
jeu.info,200,0,0.522,0.723,0.000,0.723,0.000,0.985,0.985
wikia.com,200,2,0.000,0.000,0.000,0.000,0.278,0.013,0.290
hdzog.com,200,1,0.030,0.062,0.000,0.062,0.878,1.192,2.070
adservingsolutionsinc.com,200,0,0.005,0.106,0.000,0.107,0.000,0.216,0.216
wakfu.com,302,3,0.005,0.195,0.000,0.000,3.343,0.000,8.007
bnpparibas.net,200,2,0.000,0.189,0.736,0.737,1.339,0.979,2.318
booking.com,200,1,0.515,0.606,0.000,0.606,0.383,2.724,3.107
cumcountdown.com,200,0,0.133,0.221,0.000,0.221,0.000,0.312,0.313
directrev.com,200,1,0.515,0.542,0.000,0.542,0.263,0.585,0.848
funcraft.net,200,2,0.000,0.000,0.000,0.000,1.459,0.183,1.642
ampxchange.com,200,1,0.523,0.547,0.000,0.547,0.181,0.576,0.757
blacksonblondes.com,200,1,0.133,0.227,0.000,0.227,0.279,0.325,0.605
eroprofile.com,200,1,0.035,0.124,0.000,0.124,0.229,0.232,0.461
beonpush.pro,503,0,0.005,0.263,0.000,0.263,0.000,0.462,0.462
inspsearch.com,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
antennereunion.fr,200,1,0.005,1.012,0.000,1.012,1.510,1.196,2.707
clubic.com,200,1,0.264,1.271,0.000,1.271,0.609,1.448,2.057
e-travel.com,200,1,0.005,0.043,0.000,0.043,3.582,0.154,3.736
1fichier.com,200,1,0.005,0.188,1.714,1.714,1.449,2.415,3.864
over-blog.com,200,1,0.259,1.263,2.608,2.608,0.623,2.945,3.568
amainhobbies.com,200,1,0.036,0.067,0.000,0.067,0.554,0.799,1.352
vice.com,200,2,0.000,0.000,0.000,0.000,0.485,0.140,0.625
adplxmd.com,200,0,0.260,0.295,0.000,0.295,0.000,0.367,0.367
all2lnk.com,200,0,0.067,1.071,0.000,1.071,0.000,2.902,2.902
bfcoi.com,200,0,0.270,1.274,0.000,1.274,0.000,3.058,3.058
pckeeper.com,200,0,0.070,0.181,0.000,0.181,0.000,0.398,0.398
air-austral.com,200,1,0.265,0.455,0.000,0.455,0.721,1.053,1.774
newpoptab.com,403,0,0.005,0.102,0.000,0.102,0.000,0.196,0.196
cine-reunion.com,200,0,1.530,2.494,0.000,2.494,0.000,2.702,2.702
marmiton.org,200,1,0.268,0.444,0.000,0.444,0.889,0.899,1.788
jeux.fr,200,1,0.524,0.566,0.000,0.566,0.619,1.394,2.013
lequipe.fr,200,1,0.525,0.688,0.000,0.688,0.405,0.931,1.336
rcteam.fr,200,1,0.034,0.224,0.000,0.224,0.757,1.243,2.001
arvixeshared.com,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
ma-bimbo.com,200,1,0.260,0.957,0.000,0.958,0.512,1.960,2.472
pinterest.com,200,2,0.520,0.619,0.923,0.923,0.346,1.163,1.509
lightinthebox.com,200,1,0.518,0.543,0.000,0.543,0.110,1.292,1.403
onclicktop.com,200,0,0.065,0.125,0.000,0.125,0.000,0.179,0.179
tumblr.com,200,1,0.526,0.548,0.675,0.675,0.222,2.321,2.543
siteadvisor.com,200,1,0.032,0.104,0.000,0.104,0.294,0.170,0.465
taboola.com,200,1,0.529,0.625,0.895,0.895,0.221,1.173,1.394
play1topgame.com,200,2,0.030,0.200,0.000,0.201,0.779,0.385,1.164
earningtraffic.com,200,0,0.063,0.085,0.000,0.085,0.000,0.459,0.459
twitch.tv,200,1,0.516,0.546,0.000,0.546,0.142,0.571,0.714
reunion.fr,200,1,0.005,0.200,0.000,0.200,0.396,0.401,0.797
laposte.fr,200,2,0.000,0.000,0.000,0.000,2.052,0.174,2.226
infospace.com,200,0,0.067,0.110,0.000,0.110,0.000,0.186,0.186
mozilla.org,200,2,0.000,0.000,0.000,0.000,0.903,0.024,0.926
flirchi.com,200,1,0.004,0.244,1.903,1.903,0.521,2.989,3.510
randopitons.re,200,1,1.534,1.717,0.000,1.717,1.914,2.114,4.028
guideastuces.com,200,1,0.520,0.707,0.000,0.707,0.678,0.912,1.590
nouvelobs.com,200,1,0.528,0.553,0.000,0.553,0.405,0.751,1.157
xlovecam.com,200,1,0.000,0.000,0.000,0.000,2.074,1.602,3.676
rdsa2012.com,200,0,1.527,1.595,0.000,1.595,0.000,1.657,1.657
doctissimo.fr,200,1,1.527,1.700,0.000,1.700,2.292,1.868,4.160
xl415.com,200,0,0.135,0.310,0.000,0.310,0.000,0.480,0.480
univ-reunion.fr,200,0,0.271,1.275,0.000,1.275,0.000,2.648,2.648
menareslaves.com,200,0,0.132,0.242,0.000,0.242,0.000,0.365,0.365
informatique974.fr,200,0,0.527,1.033,0.000,1.033,0.000,2.672,2.673
koph.info,200,0,1.524,1.588,0.000,1.589,0.000,1.655,1.655
laredoute.fr,200,1,1.528,1.711,0.000,1.711,0.492,1.920,2.412
streamay.com,200,0,0.131,0.153,0.000,0.153,0.000,1.009,1.009
canalplus-reunion.com,200,1,0.511,0.572,0.000,0.572,1.053,2.487,3.540
pornodingue.com,200,1,0.063,0.089,0.000,0.089,0.275,0.158,0.433
leroymerlin.fr,200,1,0.131,0.307,0.000,0.307,0.477,1.310,1.787
gum-gum-streaming.com,200,0,0.262,0.464,0.000,0.464,0.000,0.697,0.697
exoclick.com,200,2,0.005,0.192,0.864,0.864,1.390,1.232,2.622
beonpush.com,503,0,0.004,0.206,0.000,0.206,0.000,0.405,0.406
linternaute.com,200,1,0.030,0.208,0.000,0.208,0.423,0.381,0.804
m-r.li,200,0,1.527,2.175,0.000,2.175,0.000,2.395,2.395
startrevshare.com,200,1,0.005,0.077,0.362,0.362,0.322,0.474,0.796
zeop.re,200,0,2.530,2.934,0.000,2.934,0.000,3.938,3.938
doublepimp.com,200,1,0.000,0.000,0.000,0.000,0.138,0.033,0.171
fluey.com,200,1,0.140,0.167,0.000,0.167,0.396,0.430,0.826
redtube.com,200,1,0.071,0.251,0.000,0.251,1.154,0.549,1.703
