website,http_status,number_of_redirects,dns_lookup_time,tcp_connect_time,ssl_ssh_time,pretransfer_time,redirect_time,starttransfer_time,total_time
google.co.ve,200,1,1.527,1.542,0.000,1.542,0.271,1.600,1.871
facebook.com,200,2,0.130,0.149,0.340,0.340,0.905,0.474,1.378
youtube.com,200,2,0.013,0.064,0.388,0.388,0.495,0.563,1.058
google.com,200,1,0.131,0.197,0.000,0.197,0.635,0.285,0.921
lapatilla.com,200,1,0.128,0.177,0.000,0.178,0.310,0.287,0.598
mercadolibre.com.ve,200,1,1.527,1.675,0.000,1.675,0.213,3.160,3.373
twitter.com,200,1,0.005,0.104,0.544,0.544,0.366,0.816,1.182
live.com,200,3,0.013,0.102,0.481,0.481,0.633,0.607,1.240
amazon.com,200,1,0.031,0.117,0.000,0.117,0.250,0.289,0.539
banesconline.com,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.001
banvenez.com,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.005
el-nacional.com,200,1,0.134,0.223,0.000,0.224,1.708,0.318,2.027
bancomercantil.com,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.006
yahoo.com,200,1,0.031,0.129,0.489,0.489,0.276,0.650,0.926
t.co,200,0,0.035,0.057,0.000,0.057,0.000,0.088,0.088
wikipedia.org,200,2,0.033,0.048,0.156,0.156,0.270,0.175,0.445
blogspot.com,200,6,0.000,0.016,0.039,0.039,2.528,0.133,2.661
provinet.net,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.007
bancodevenezuela.com,200,0,0.267,0.401,0.000,0.401,0.000,0.561,0.561
instagram.com,200,1,0.034,0.054,0.211,0.211,0.290,0.306,0.596
msn.com,200,1,0.067,0.083,0.000,0.083,0.077,0.198,0.275
provincial.com,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.001
mercantilbanco.com,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.006
banesco.com,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.005
noticias24.com,200,0,0.266,0.351,0.000,0.351,0.000,0.447,0.448
eluniversal.com,200,0,0.069,0.126,0.000,0.126,0.000,0.175,0.175
elestimulo.com,200,0,0.068,0.160,0.000,0.160,0.000,0.405,0.405
bodmillenium.com,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.006
linkedin.com,200,2,0.015,0.039,0.205,0.205,0.330,0.244,0.574
ultimasnoticias.com.ve,200,1,0.527,0.643,0.000,0.643,0.759,0.821,1.580
noticiaaldia.com,200,0,0.134,0.147,0.000,0.147,0.000,0.359,0.359
wordpress.com,200,1,0.005,0.031,0.157,0.157,0.109,0.190,0.299
notiminuto.com,200,1,0.005,0.076,0.000,0.076,0.155,0.153,0.309
ask.com,200,1,0.522,0.542,0.000,0.542,0.273,0.678,0.951
seniat.gob.ve,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.005
xvideos.com,200,1,0.030,0.245,0.000,0.245,0.388,0.445,0.832
maduradas.com,200,1,0.065,0.078,0.000,0.078,0.276,0.211,0.488
olx.com.ve,200,4,0.000,0.000,0.000,0.000,2.738,0.374,3.112
amazonaws.com,200,1,0.031,0.116,0.000,0.116,0.250,0.222,0.472
bicentenariobu.com,000,0,0.006,0.000,0.000,0.000,0.000,0.000,0.006
bod.com.ve,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.006
aporrea.org,200,0,0.261,0.281,0.000,0.281,0.000,0.354,0.354
whatsapp.com,200,1,0.032,0.047,0.172,0.172,0.119,0.203,0.322
runrun.es,200,0,0.037,0.050,0.000,0.050,0.000,0.196,0.196
dolartoday.com,200,1,0.005,0.020,0.260,0.260,0.111,0.670,0.781
onclickads.net,200,1,0.033,0.200,0.000,0.200,0.358,0.410,0.769
meridiano.com.ve,200,1,1.520,1.608,0.000,1.608,0.714,1.716,2.429
taringa.net,200,1,0.066,0.104,0.000,0.104,0.530,0.883,1.413
uptodown.com,200,1,0.518,0.559,0.000,0.559,0.138,0.583,0.721
pinterest.com,200,2,0.520,0.612,0.997,0.997,0.316,1.164,1.480
adnetworkperformance.com,200,0,0.136,0.215,0.000,0.215,0.000,0.302,0.302
tumblr.com,200,1,0.516,0.641,1.045,1.045,0.256,1.310,1.566
sumarium.com,200,0,0.262,0.350,0.000,0.350,0.000,1.346,1.347
laiguana.tv,200,0,0.066,0.082,0.000,0.082,0.000,0.184,0.184
globovision.com,200,0,0.062,0.077,0.000,0.077,0.000,0.418,0.418
hootsuite.com,200,1,0.005,0.091,0.440,0.440,0.518,0.629,1.147
bt.gob.ve,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.001
marca.com,200,1,0.263,0.470,0.000,0.470,0.744,0.692,1.437
google.es,200,1,0.029,0.053,0.000,0.053,0.146,0.136,0.282
wordssl.net,200,0,0.132,0.217,0.000,0.217,0.000,0.333,0.333
movistar.com.ve,200,0,0.263,0.399,0.000,0.399,0.000,0.522,0.522
avn.info.ve,200,1,1.522,1.686,0.000,1.686,1.888,2.245,4.133
wordreference.com,200,0,0.062,0.162,0.000,0.162,0.000,0.261,0.261
paypal.com,200,3,0.000,0.050,0.099,0.099,1.516,0.760,2.276
outbrain.com,200,1,0.519,0.535,0.000,0.535,0.202,0.958,1.161
elfarandi.com,200,1,0.132,0.251,0.000,0.251,1.699,0.369,2.068
neobux.com,200,2,0.013,0.044,0.181,0.181,0.840,0.386,1.226
badoo.com,200,0,0.132,0.221,0.000,0.222,0.000,0.381,0.381
blogger.com,200,6,0.000,0.022,0.055,0.055,1.291,0.150,1.442
go.com,200,0,0.067,0.093,0.000,0.093,0.000,0.125,0.125
efeservicios.com,404,0,0.016,0.202,0.000,0.203,0.000,0.408,0.409
noticierodigital.com,200,1,0.130,0.181,0.000,0.181,0.949,0.408,1.357
bnc.com.ve,404,0,0.015,0.118,0.000,0.118,0.000,0.734,0.734
bbc.com,200,1,0.523,0.542,0.000,0.542,0.349,0.714,1.063
bancaribe.com.ve,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.006
informe21.com,200,0,0.129,0.157,0.000,0.157,0.000,0.341,0.341
mercadolibre.com,200,1,0.127,0.248,0.000,0.248,0.473,0.345,0.818
bancoexterior.com,200,0,0.265,0.372,0.000,0.372,0.000,0.577,0.577
espn.go.com,200,0,0.529,0.557,0.000,0.557,0.000,0.589,0.589
sunoticiero.com,200,0,0.131,0.227,0.000,0.227,0.000,1.047,1.047
cinesunidos.com,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.006
pornhub.com,200,1,0.066,0.231,0.000,0.231,0.428,0.466,0.894
all2lnk.com,200,0,0.065,0.289,0.000,0.290,0.000,0.502,0.502
mega.nz,200,1,0.013,0.182,1.450,1.450,0.400,1.633,2.032
ask.fm,200,1,0.015,0.102,0.468,0.468,0.325,0.592,0.917
flirchi.com,200,1,0.014,0.310,1.239,1.239,0.511,1.698,2.209
rt.com,200,1,0.261,0.421,0.841,0.841,0.245,0.957,1.202
liderendeportes.com,200,1,0.522,1.642,0.000,1.642,0.771,1.851,2.622
panorama.com.ve,200,1,0.522,0.619,0.000,0.619,0.711,0.718,1.429
slack.com,200,1,0.004,0.092,0.452,0.452,0.240,0.561,0.801
cnn.com,200,1,0.517,0.592,0.000,0.592,0.216,0.623,0.838
tucarro.com.ve,200,0,1.524,1.609,0.000,1.609,0.000,1.713,1.713
tradeadexchange.com,200,0,0.065,0.132,0.000,0.132,0.000,0.182,0.182
microsoft.com,200,2,0.000,0.000,0.000,0.000,0.510,0.359,0.869
elpais.com,200,1,0.000,0.000,0.000,0.000,0.424,0.192,0.616
office.com,200,1,0.033,0.088,0.391,0.391,1.893,0.544,2.437
as.com,200,1,0.531,0.716,0.000,0.716,0.449,0.919,1.367
bongacams.com,200,1,0.005,0.099,0.403,0.403,0.645,0.794,1.439
ebay.com,200,1,1.530,1.899,0.000,1.899,0.215,2.337,2.552
talcualdigital.com,200,1,0.062,0.149,0.000,0.149,0.257,0.902,1.159
digitel.com.ve,200,1,0.519,0.754,0.000,0.754,0.965,0.908,1.874
twoo.com,200,1,0.521,0.538,0.670,0.670,0.484,1.293,1.777
adf.ly,200,0,0.067,0.082,0.000,0.083,0.000,0.239,0.239
dropbox.com,200,2,0.522,0.541,0.683,0.683,0.281,0.876,1.157
clixsense.com,200,1,0.030,0.045,0.000,0.045,0.243,0.159,0.403
bumeran.com.ve,200,1,0.269,0.354,0.000,0.355,1.691,0.453,2.144
tuinmueble.com.ve,200,0,0.554,0.663,0.000,0.663,0.000,0.773,0.773
googleusercontent.com,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.001
bp.blogspot.com,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.005
cloudfront.net,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.001
pdvsa.com,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.006
teachlr.com,200,0,0.067,0.144,0.000,0.144,0.000,0.299,0.299
afpforum.com,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.001
venezolano.com,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.005
cadivi.gob.ve,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.007
imdb.com,200,1,0.519,0.604,0.000,0.604,0.262,1.173,1.435
elmundo.com.ve,200,1,0.131,0.250,0.000,0.250,0.788,0.511,1.299
pac.com.ve,200,1,1.528,1.656,0.000,1.656,0.786,2.500,3.286
littlebux.com,200,1,0.067,0.109,0.000,0.109,0.290,0.246,0.536
friv.com,200,0,0.064,0.114,0.000,0.114,0.000,0.170,0.170
mismarcadores.com,200,1,0.261,0.483,0.000,0.483,0.635,0.774,1.410
espn.com.ve,200,1,0.132,0.197,0.000,0.197,0.714,0.280,0.994
unionradio.net,200,0,0.128,0.213,0.000,0.213,0.000,1.476,1.477
saime.gob.ve,200,1,0.264,1.397,0.000,1.397,0.819,3.557,4.376
soundcloud.com,200,1,0.004,0.017,0.164,0.164,0.432,0.369,0.801
notitarde.com,200,0,0.137,0.203,0.000,0.203,0.000,0.273,0.273
slideshare.net,200,1,0.067,0.142,0.000,0.142,0.172,0.274,0.446
venezuelatuya.com,200,0,0.132,0.217,0.000,0.218,0.000,0.661,0.661
cne.gob.ve,200,1,0.000,0.000,0.000,0.000,0.781,0.142,0.923
netflix.com,200,1,0.523,0.555,0.727,0.727,0.267,1.277,1.543
vtv.gob.ve,200,1,0.525,0.659,0.000,0.659,0.797,0.791,1.588
elnuevoherald.com,200,1,0.530,0.558,0.000,0.558,0.431,0.646,1.076
ampclicks.com,200,1,0.134,0.147,0.000,0.147,0.106,0.175,0.281
savefrom.net,200,1,0.068,0.224,0.000,0.224,0.355,0.384,0.739
lvbp.com,200,0,0.137,0.189,0.000,0.189,0.000,0.264,0.264
alibaba.com,200,1,2.528,2.549,0.000,2.549,0.088,2.597,2.685
apple.com,200,1,0.032,0.045,0.000,0.046,0.152,0.070,0.222
apimages.com,200,1,0.520,0.541,0.000,0.541,0.308,0.679,0.986
ohdios.org,200,0,0.262,0.296,0.000,0.296,0.000,1.638,1.639
trafficmonsoon.com,200,1,0.004,0.083,0.804,0.804,0.423,0.916,1.340
credicard.com.ve,200,0,0.523,0.853,0.000,0.853,0.000,0.993,0.994
avg.com,200,2,0.000,0.025,0.000,0.025,0.944,0.422,1.366
elmundo.es,200,1,0.267,0.471,0.000,0.471,1.096,0.746,1.842
ivss.gob.ve,200,0,0.524,0.677,0.000,0.677,0.000,0.838,0.838
paisdelosjuegos.co.ve,200,1,1.525,1.712,0.000,1.712,0.970,2.114,3.084
zapacos.com,200,1,0.030,0.114,0.000,0.114,0.298,0.239,0.537
infobae.com,200,2,0.000,0.000,0.000,0.000,0.768,0.051,0.819
microsoftonline.com,200,2,0.015,0.040,0.223,0.223,1.633,0.400,2.033
linio.com.ve,200,1,0.272,0.378,0.734,0.734,0.418,0.983,1.400
infoguia.net,200,1,0.259,0.389,0.000,0.389,0.594,0.853,1.447
farmatodo.com.ve,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.006
directrev.com,200,1,0.132,0.146,0.000,0.147,0.718,0.186,0.904
media.tumblr.com,403,0,0.016,0.031,0.000,0.031,0.000,0.053,0.053
kat.cr,200,1,0.005,3.307,3.687,3.687,0.820,3.884,4.704
bankofamerica.com,200,2,0.014,0.045,0.259,0.259,0.808,0.390,1.198
trebolviral.com,200,0,0.131,0.146,0.000,0.147,0.000,1.116,1.116
musica.com,200,1,0.265,0.330,0.000,0.330,0.373,0.408,0.781
redtube.com,200,1,0.033,0.230,0.000,0.230,0.378,0.528,0.906
juegos.com,200,1,0.066,0.084,0.000,0.084,0.396,0.398,0.794
softonic.com,200,1,0.139,0.322,0.000,0.322,0.442,0.594,1.037
libertyexpress.com,200,0,0.131,0.201,0.000,0.201,0.000,0.271,0.271
bfc.com.ve,303,1,0.004,0.148,0.000,0.000,0.368,0.000,0.687
youtube-mp3.org,200,1,0.522,0.711,0.000,0.711,0.379,0.904,1.284
9gag.com,200,0,0.037,0.051,0.000,0.051,0.000,0.072,0.073
prodavinci.com,200,0,0.136,0.188,0.000,0.188,0.000,0.376,0.376
caraotadigital.net,200,0,0.006,0.094,0.000,0.094,0.000,3.187,3.187
laverdad.com,200,1,0.265,0.402,0.000,0.402,0.530,0.564,1.094
ccm.net,200,0,0.070,0.092,0.000,0.092,0.000,0.592,0.592
spaceshipads.com,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.005
elpitazo.com,200,1,0.131,0.218,0.000,0.218,0.310,1.011,1.322
telesurtv.net,200,1,0.068,0.105,0.000,0.105,0.444,1.177,1.621
elimpulso.com,503,0,0.016,0.028,0.000,0.029,0.000,0.058,0.058
eltiempo.com.ve,200,0,0.523,0.611,0.000,0.611,0.000,0.752,0.752
xnxx.com,200,1,0.063,0.244,0.000,0.244,0.374,1.685,2.060
adfiver.com,200,1,0.032,0.114,0.000,0.114,0.291,0.205,0.497
stackoverflow.com,200,0,0.035,0.051,0.000,0.051,0.000,0.228,0.228
abc.es,200,1,0.134,0.151,0.000,0.151,0.391,0.339,0.730
adobe.com,200,1,0.034,0.077,0.000,0.077,0.301,0.102,0.403
bing.com,200,1,0.070,0.094,0.000,0.094,0.070,0.159,0.228
2001.com.ve,200,1,0.522,0.615,0.000,0.615,0.718,0.799,1.517
tsj.gob.ve,200,1,0.521,0.654,0.000,0.655,1.818,1.309,3.127
dailymotion.com,200,2,0.000,0.000,0.000,0.000,0.835,0.476,1.312
resultados-futbol.com,200,1,0.134,0.298,0.000,0.298,0.604,0.468,1.073
wikia.com,200,2,0.000,0.000,0.000,0.000,0.200,0.024,0.224
iminent.com,200,2,0.000,0.000,0.000,0.000,0.508,0.039,0.547
cencoex.gob.ve,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.001
plusnetwork.com,200,1,0.140,0.202,0.000,0.202,0.245,0.296,0.541
correodelorinoco.gob.ve,200,1,0.263,0.394,0.000,0.394,1.121,0.526,1.647
xhamster.com,200,0,0.136,0.310,0.000,0.310,0.000,0.532,0.532
notipanda.com,200,1,0.069,0.082,0.000,0.082,0.194,0.154,0.348
monografias.com,200,1,0.528,0.616,0.000,0.616,0.250,0.708,0.958
conviasa.aero,200,2,0.000,0.000,0.000,0.000,1.705,0.134,1.839
cantv.com.ve,200,0,0.528,0.673,0.000,0.673,0.000,0.830,0.830
elperiodicovenezolano.com,200,0,0.066,0.088,0.000,0.088,0.000,0.253,0.253
ehowenespanol.com,200,1,0.528,0.546,0.000,0.546,0.201,0.573,0.774
notilogia.com,200,1,0.137,0.153,0.000,0.153,0.479,0.471,0.951
sport.es,200,2,0.000,0.000,0.000,0.000,3.575,0.017,3.591
4dsply.com,200,0,0.131,0.192,0.000,0.192,0.000,0.260,0.260
cinex.com.ve,200,1,0.063,0.202,0.000,0.202,0.527,0.372,0.899
betcris.com,200,1,0.263,0.412,0.000,0.412,0.578,0.895,1.473
asambleanacional.gob.ve,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.006
efectococuyo.com,200,0,0.136,0.185,0.000,0.185,0.000,3.213,3.213
addthis.com,200,1,0.524,0.552,0.000,0.552,0.103,0.803,0.906
terraclicks.com,200,0,0.132,0.218,0.000,0.218,0.000,0.322,0.323
shutterstock.com,200,1,0.033,0.127,0.000,0.127,0.214,0.368,0.582
tuazar.com,200,1,0.134,0.148,0.000,0.148,0.357,0.330,0.687
ivss.gov.ve,200,0,0.525,0.671,0.000,0.671,0.000,0.828,0.829
wikihow.com,200,1,0.529,0.563,0.000,0.563,0.467,0.609,1.075
seriesbang.to,200,1,0.069,0.095,0.000,0.095,0.553,0.619,1.172
loading-delivery2.com,200,0,0.065,0.236,0.000,0.236,0.000,0.410,0.410
duolingo.com,200,1,0.520,0.606,0.959,0.959,0.255,1.144,1.399
universidades-rusia.com,200,1,0.130,0.192,0.000,0.192,0.302,0.637,0.938
files.wordpress.com,200,3,0.128,0.147,0.258,0.258,0.339,0.294,0.633
empleate.com,200,2,0.000,0.000,0.000,0.000,0.874,1.581,2.455
trovit.co.ve,200,1,0.527,0.734,0.000,0.734,0.912,0.939,1.851
nametests.com,200,0,0.071,0.089,0.000,0.089,0.000,0.403,0.403
djprofile.tv,200,1,0.071,0.127,0.000,0.127,1.800,2.551,4.351
secureserver.net,404,2,0.000,0.000,0.000,0.000,0.214,0.057,0.271
noticias24carabobo.com,200,0,0.138,0.207,0.000,0.207,0.000,0.291,0.291
prensaescrita.com,200,1,0.142,0.167,0.000,0.167,0.343,0.412,0.755
godaddy.com,200,1,0.527,0.542,0.678,0.678,0.148,0.858,1.006
noticiasaldiayalahora.co,200,1,0.066,0.117,0.000,0.117,0.442,0.168,0.610
hqbux.com,200,1,0.068,0.084,0.000,0.084,0.287,0.402,0.689
directv.com.ve,200,0,0.530,0.658,0.000,0.658,0.000,0.761,0.761
dateas.com,200,2,0.000,0.000,0.000,0.000,1.149,0.226,1.375
citibank.com.ve,500,0,0.006,0.090,0.000,0.090,0.000,0.148,0.148
mediafire.com,200,2,0.139,0.230,0.512,0.513,0.727,0.608,1.336
wellsfargo.com,200,1,0.136,0.222,0.572,0.572,0.211,1.341,1.552
reddit.com,200,1,0.034,0.047,0.169,0.169,0.073,0.197,0.270
cbssports.com,200,1,0.137,0.150,0.000,0.151,0.228,0.264,0.492
liniodesign.com,200,1,0.000,0.070,0.000,0.070,2.049,0.369,2.418
musicaq.net,200,0,0.269,0.357,0.000,0.357,0.000,0.458,0.458
slimspots.com,200,0,0.067,0.241,0.000,0.241,0.000,0.411,0.411
jw.org,200,2,0.000,0.000,0.000,0.000,0.993,0.022,1.015
upsocl.com,200,1,0.133,0.216,0.000,0.216,0.753,0.331,1.084
grandbux.net,200,2,0.014,0.028,0.268,0.268,1.957,0.661,2.618
akamaihd.net,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.001
ivoox.com,200,1,0.068,0.260,0.000,0.260,0.704,0.757,1.461
leadzu.com,200,2,0.000,0.219,0.000,0.219,1.107,0.533,1.640
apexchange.com,200,3,0.015,0.033,0.166,0.166,1.106,0.669,1.774
movilnet.com.ve,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.006
